,1_xs2xs,1_full2xs,1_xs2full,1_full2full,2_xs2xs,2_full2xs,2_xs2full,2_full2full,5_xs2xs,5_full2xs,5_xs2full,5_full2full,10_xs2xs,10_full2xs,10_xs2full,10_full2full
0,0.5625,0.9576023391812866,0.5625,0.9948830409356725,0.5178571428571429,0.9736842105263158,0.5625,0.9948830409356725,0.625,0.9846491228070176,0.6517857142857143,0.9948830409356725,0.6428571428571429,0.9839181286549707,0.6607142857142857,0.9948830409356725
1,0.5625,0.9904970760233918,0.5625,0.9941520467836257,0.5089285714285714,0.9912280701754386,0.5803571428571429,0.9941520467836257,0.6517857142857143,0.993421052631579,0.5625,0.9948830409356725,0.6785714285714286,0.9948830409356725,0.5714285714285714,0.9948830409356725
2,0.6517857142857143,0.9824561403508771,0.5357142857142857,0.9948830409356725,0.6696428571428571,0.9948830409356725,0.5446428571428571,0.9948830409356725,0.6160714285714286,0.9948830409356725,0.5625,0.9948830409356725,0.7142857142857143,0.9948830409356725,0.5892857142857143,0.9948830409356725
3,0.6339285714285714,0.8362573099415205,0.5625,0.9948830409356725,0.6160714285714286,0.9948830409356725,0.5535714285714286,0.9948830409356725,0.6339285714285714,0.9948830409356725,0.5625,0.9948830409356725,0.7142857142857143,0.9948830409356725,0.6428571428571429,0.9948830409356725
4,0.6160714285714286,0.918859649122807,0.5625,0.9948830409356725,0.6160714285714286,0.9948830409356725,0.5803571428571429,0.9948830409356725,0.6428571428571429,0.9948830409356725,0.5892857142857143,0.9948830409356725,0.6964285714285714,0.9948830409356725,0.6339285714285714,0.9948830409356725
5,0.625,0.7697368421052632,0.5625,0.9948830409356725,0.625,0.9948830409356725,0.5625,0.9948830409356725,0.6428571428571429,0.9948830409356725,0.5625,0.9948830409356725,0.6696428571428571,0.9948830409356725,0.6875,0.9948830409356725
6,0.625,0.7997076023391813,0.5625,0.9948830409356725,0.625,0.9948830409356725,0.625,0.9948830409356725,0.6696428571428571,0.9948830409356725,0.5982142857142857,0.9948830409356725,0.6875,0.9948830409356725,0.6785714285714286,0.9948830409356725
7,0.6339285714285714,0.5548245614035088,0.5625,0.9948830409356725,0.625,0.9868421052631579,0.6696428571428571,0.9948830409356725,0.6339285714285714,0.9948830409356725,0.6875,0.9948830409356725,0.6875,0.9948830409356725,0.6696428571428571,0.9948830409356725
8,0.6517857142857143,0.625,0.5625,0.9948830409356725,0.6160714285714286,0.64546783625731,0.5625,0.9948830409356725,0.6160714285714286,0.9948830409356725,0.5714285714285714,0.9948830409356725,0.6964285714285714,0.9948830409356725,0.5714285714285714,0.9948830409356725
9,0.6428571428571429,0.5562865497076024,0.5625,0.9948830409356725,0.625,0.7675438596491229,0.5803571428571429,0.9948830409356725,0.6071428571428571,0.9948830409356725,0.6339285714285714,0.9948830409356725,0.6875,0.9948830409356725,0.6339285714285714,0.9948830409356725
10,0.6428571428571429,0.5211988304093568,0.5625,0.9948830409356725,0.6071428571428571,0.6666666666666666,0.5625,0.9948830409356725,0.5982142857142857,0.9948830409356725,0.5625,0.9948830409356725,0.6517857142857143,0.9948830409356725,0.6071428571428571,0.9948830409356725
11,0.6428571428571429,0.5519005847953217,0.5625,0.9948830409356725,0.5892857142857143,0.6542397660818714,0.5625,0.9948830409356725,0.6071428571428571,0.9941520467836257,0.6071428571428571,0.9948830409356725,0.625,0.993421052631579,0.6696428571428571,0.9948830409356725
12,0.6339285714285714,0.570906432748538,0.5625,0.9948830409356725,0.5803571428571429,0.7587719298245614,0.5357142857142857,0.9948830409356725,0.6160714285714286,0.9941520467836257,0.5982142857142857,0.9948830409356725,0.6428571428571429,0.9948830409356725,0.5982142857142857,0.9948830409356725
13,0.6517857142857143,0.6615497076023392,0.5535714285714286,0.9948830409356725,0.5892857142857143,0.7828947368421053,0.5089285714285714,0.9948830409356725,0.6160714285714286,0.9941520467836257,0.5357142857142857,0.9948830409356725,0.6517857142857143,0.9948830409356725,0.625,0.9948830409356725
14,0.625,0.591374269005848,0.5625,0.9948830409356725,0.5803571428571429,0.8172514619883041,0.5625,0.9948830409356725,0.6160714285714286,0.9861111111111112,0.5803571428571429,0.9948830409356725,0.6517857142857143,0.9948830409356725,0.5803571428571429,0.9948830409356725
15,0.6339285714285714,0.6432748538011696,0.5625,0.9948830409356725,0.5982142857142857,0.810672514619883,0.5625,0.9948830409356725,0.6071428571428571,0.9839181286549707,0.6071428571428571,0.9948830409356725,0.7053571428571429,0.9948830409356725,0.6071428571428571,0.9948830409356725
16,0.625,0.7032163742690059,0.5535714285714286,0.9948830409356725,0.5803571428571429,0.7843567251461988,0.5446428571428571,0.9948830409356725,0.6160714285714286,0.9831871345029239,0.6160714285714286,0.9948830409356725,0.6964285714285714,0.9948830409356725,0.5982142857142857,0.9948830409356725
17,0.6428571428571429,0.7690058479532164,0.5535714285714286,0.9948830409356725,0.5982142857142857,0.804093567251462,0.5178571428571429,0.9948830409356725,0.625,0.9809941520467836,0.5892857142857143,0.9948830409356725,0.7053571428571429,0.993421052631579,0.625,0.9948830409356725
