,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32
0,-0.0022125244,-0.0005874634,-0.0041503906,-0.00030517578,-0.00031471252,0.0046577454,-0.0064373016,0.0001487732,0.00393486,0.012191772,0.0004272461,0.0032424927,0.0013122559,-0.0043258667,0.0038146973,0.0043029785,0.0101623535,0.007791519,0.0007019043,0.00049746037,0.004211426,-0.0018005371,-0.008735657,-0.010967255,0.014678955,-0.014678955,-0.0022277832,0.014152527,0.017303467,0.012756348,0.01260376,0.015136719
1,-0.0012512207,-0.00045776367,-0.005540848,-0.0044021606,-0.0039520264,0.004486084,0.0005340576,-0.0011444092,0.007393837,0.005256653,0.0020446777,-0.0047798157,0.017150879,-0.009338379,-0.0030517578,0.00045776367,0.011932373,-0.008079529,-0.006362915,0.005584717,0.0014038086,0.001739502,-0.0026016235,-0.0021591187,0.0037651062,0.0032653809,-0.014160156,0.0007019043,0.030273438,-0.036895752,0.06750488,-0.0034179688
2,0.0023384094,-0.0015563965,-0.004600525,-0.0037994385,0.0031433105,0.00982666,0.003112793,0.0043792725,0.0012512207,0.00048828125,-0.0012359619,0.0028061867,-0.0079956055,0.017528534,-0.0050735474,-0.0042877197,0.0044994354,0.0052337646,-0.00035858154,0.014968872,-0.0020751953,0.021118164,-0.0016174316,-0.0141944885,-0.0025558472,0.0013427734,0.022644043,0.0074768066,0.0020751953,-0.02178955,-0.030761719,0.07277298
3,-0.0006752014,0.001335144,-0.0013427734,-0.0038146973,-0.00090026855,0.0011863708,0.0064086914,0.0050086975,0.0038228035,0.007584572,0.01626587,-0.0043640137,-0.007598877,-0.0063171387,-0.004184723,6.1035156e-05,0.0126571655,-0.005572796,0.006214142,0.0011901855,-0.015167236,-0.00024414062,0.007583618,0.004135132,0.008041382,0.008865356,-0.0030517578,-0.0105896,0.010620117,0.014404297,0.02671814,0.08203125
4,-0.00077819824,-0.0013046265,0.0018692017,0.005104065,0.0036468506,-0.0027618408,0.0039520264,0.001449585,-0.0024414062,-0.004787445,0.010894775,0.01083374,0.009765625,0.0053253174,0.007221222,-0.009094238,-0.0047962666,-0.006164551,0.00076293945,-0.0016479492,-0.004096985,-0.012554169,-0.0018005371,0.014364243,0.007977486,-0.012939453,-0.030914307,0.0018920898,0.044355392,-0.031288147,-0.021972656,-0.0012207031
5,-0.0019454956,0.00089144707,0.008441925,-0.00064849854,0.0026168823,0.0017738342,0.0013427734,0.0057525635,-0.007293701,-0.00970459,0.0061035156,-0.0018920898,-0.008049965,-0.01083374,0.005004883,0.010353088,0.00011444092,-0.0002746582,-0.004272461,0.006958008,0.0067443848,0.0020580292,-0.011306763,-0.0054016113,0.0069885254,0.012390137,-0.0335083,-0.017066956,0.024230957,0.00869751,-0.04208374,-0.018554688
6,0.0039367676,-0.0011138916,0.00674057,-0.0021896362,0.00062561035,0.001083374,0.0089149475,0.0032920837,0.0045318604,0.009353638,0.0009841919,-0.0062351227,0.0065307617,0.0053100586,0.001373291,0.0064086914,-0.0024108887,0.0033721924,-0.005493164,-0.011474609,0.0033607483,-0.007507324,0.0025939941,-0.0011749268,-0.010131836,-0.0034332275,0.011779785,-0.0005493164,-0.018737793,-0.040527344,0.060451508,-0.076171875
7,0.0006713867,-0.0017967224,0.0025863647,0.0061531067,-0.0008621216,-0.008785248,-0.0058135986,0.0015716553,-0.0012168884,-0.0016098022,0.006300926,-0.017829895,0.00033950806,0.008911133,-0.026763916,0.025624871,-0.009857178,-0.0073547363,-0.0012054443,-0.003112793,-0.011138916,0.02071762,-0.0058670044,0.0074157715,-0.013053894,0.008224487,0.0063171387,0.0131073,-0.001159668,0.0009460449,0.037887573,0.084472656
8,0.002128601,0.001373291,-0.0012207031,0.002796173,0.001876831,-0.007331848,-0.01083374,0.0083146095,0.0017700195,-0.008365631,-0.013916016,0.001493454,-0.010437012,-0.013671875,0.008758545,0.005065918,0.0012626648,0.0056152344,-0.0032205582,-0.008239746,0.0013122559,0.022578716,0.0002861023,-0.001373291,-0.006767273,-0.0073661804,0.014579773,0.0032043457,0.009643555,0.0075683594,0.07574463,-0.1105957
9,0.00019836426,-0.0008392334,-0.0012588501,-0.00061035156,-0.0030412674,-0.0013809204,-0.0023040771,-0.0030975342,0.00036621094,-0.002822876,0.00061798096,0.012998104,-0.020454407,0.004211426,-0.002960205,-0.008087158,-0.0008735657,-0.011230469,-0.0038604736,0.0010976791,-0.00579834,0.01424408,-0.0037841797,-0.00018310547,-0.002166748,-0.018310547,0.014045715,0.0034179688,0.015319824,0.03555298,-0.0020141602,0.034179688
