,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32
0,-0.0011537075,0.025390625,0.0021133423,-0.0004863739,0.010925293,-0.006134033,0.0030517578,0.0014877319,-0.00016784668,0.004135132,-0.0013885498,0.0014419556,0.0064849854,0.0030822754,0.0061979294,-0.007537842,0.008300781,-0.0066082478,0.0008163452,0.0036315918,-0.0010375977,-0.0004348755,0.0030822754,0.0027923584,0.003479004,-0.00065612793,0.004676819,0.00021362305,-0.0069122314,-0.040283203,-0.017730713,-0.1706543
1,0.0014343262,0.0010681152,-0.0014572144,0.0019073486,0.0052490234,0.0062713623,0.003932953,-0.0013999939,-0.001159668,0.004760742,0.0007019043,0.00961113,0.006526947,0.006801605,-0.0044441223,-0.004425049,-0.006713867,-0.00065612793,0.0015716553,0.0007171631,0.0063209534,0.0019226074,-0.002073288,-0.0029525757,-0.001876831,-0.0045318604,0.0047912598,0.008104324,0.00035095215,-0.007080078,-0.022949219,-0.09301758
2,-0.001449585,8.392334e-05,-0.0034780502,0.0017280579,0.0028381348,-0.0056762695,0.007106781,-0.00082969666,-0.00039672852,0.0049743652,0.014480591,-0.0022058487,-0.0021600723,0.0025629997,-0.0012741089,0.0005302429,-0.006111145,0.0042381287,0.02056694,-0.005584717,-0.0029263496,-0.0044031143,0.001285553,0.0074272156,-0.0018005371,0.005367279,-0.0043945312,-0.0059432983,0.0018920898,-0.03466797,0.017700195,-0.041870117
3,-0.0006246567,-0.00075912476,0.0012969971,-0.0007419586,0.0047912598,-0.0018692017,-0.0048065186,-0.0018920898,-0.00050354004,0.0024414062,-0.0024871826,-0.00088119507,0.0015716553,-0.00061035156,-0.0023880005,0.0043792725,-0.0033569336,-0.004286051,0.011035919,-0.012145996,-0.0022735596,0.0048217773,0.007083893,-0.006246567,0.002998352,0.0064315796,0.009395599,0.0016822815,-0.0045776367,-0.044433594,0.057128906,0.022216797
4,0.0017700195,-0.032226562,0.00024604797,-0.0035629272,0.013793945,-0.00077819824,0.0064086914,-0.006439209,0.003288269,-0.0034942627,-0.0054779053,0.0019683838,-0.005218506,0.0076122284,-0.000579834,-0.00412941,0.0061035156,-0.009460449,0.0082092285,0.005554199,-0.0022125244,0.0030670166,-0.0013885498,-0.0031204224,-0.004623413,-0.00039672852,-0.0016555786,-0.0019836426,0.01768303,-0.076171875,0.02368164,-0.018066406
5,-0.0016174316,-0.008361816,0.0016174316,-0.00011444092,-0.0049743652,0.0068359375,-0.0043182373,-0.00541687,-0.0040283203,0.009460449,-0.00021362305,0.0022888184,-0.0042037964,-0.003074646,0.00045776367,-0.010047913,-0.008911133,-0.0013237,0.0035247803,0.0040893555,-0.002380371,-0.0035552979,0.0005950928,-0.00077819824,0.0011825562,-0.0020599365,0.0035705566,-0.0012817383,-0.0016479492,0.00045776367,0.056884766,0.072753906
6,3.4332275e-05,0.010986328,0.003921509,-0.002620697,0.0046310425,0.00024414062,0.008529663,0.0005493164,0.0024681091,-0.009216309,-0.004760742,-0.0030202866,0.00057816505,-0.0044403076,-0.0012969971,0.0022115707,-0.001876831,0.0012130737,0.0040893555,-0.0072784424,-0.0026187897,0.0023946762,0.007461548,-0.0027160645,0.0004043579,0.0027179718,-0.0035095215,-0.00064086914,-0.016958237,-0.015625,0.05126953,0.057861328
7,0.00043296814,-0.019165039,-0.0022583008,-0.00036621094,0.024963379,0.0018806458,0.0029067993,0.0034942627,-0.0013961792,0.00012207031,-0.0029296875,0.0020141602,0.00579834,-0.003112793,0.0023040771,-0.0023651123,-0.006958008,-0.0033721924,7.6293945e-05,-0.022338867,0.002319336,-0.00032043457,0.00046539307,-0.0052948,-0.00037384033,-0.012744904,0.008117676,-0.0029296875,-0.012458801,-0.0025634766,0.03564453,-0.04248047
8,-0.002878189,0.017822266,-6.1035156e-05,0.0032958984,0.009185791,0.000579834,-1.5258789e-05,0.0034484863,0.0008544922,-0.0053710938,0.01424408,0.003326416,-0.0018310547,0.012126923,0.0069351196,0.0046043396,-0.008575439,0.0033950806,0.0031092167,-0.0032806396,-0.0027923584,-0.0029830933,-0.0008354187,-0.0032958984,-0.0076465607,0.00018310547,-0.0005187988,-0.009307861,-0.004699707,0.00390625,-0.026855469,0.2102356
9,-0.0002593994,-0.017089844,-0.0017147064,-0.00045013428,-0.006378174,-0.009399414,0.0035238266,0.0010986328,-0.0011444092,-0.0067749023,0.00062561035,0.0039138794,0.0023345947,0.0061035156,0.00088500977,0.0030670166,0.0063476562,-0.0014343262,-0.01086235,0.007873535,0.0039749146,-0.000869751,0.0011196136,-0.004631996,0.004058838,0.00089645386,-0.0056991577,0.0086250305,0.0008544922,0.014587402,-0.046142578,0.0103302
