,1_xs2xs,1_full2xs,1_xs2full,1_full2full,2_xs2xs,2_full2xs,2_xs2full,2_full2full,5_xs2xs,5_full2xs,5_xs2full,5_full2full,10_xs2xs,10_full2xs,10_xs2full,10_full2full
0,0.5625,0.6644736842105263,0.5625,0.7923976608187134,0.5089285714285714,0.8055555555555556,0.5625,0.9890350877192983,0.5892857142857143,0.9035087719298246,0.5892857142857143,0.9956140350877193,0.6517857142857143,0.9166666666666666,0.6785714285714286,0.9948830409356725
1,0.5267857142857143,0.6659356725146199,0.5625,0.8194444444444444,0.5178571428571429,0.7397660818713451,0.5625,0.9853801169590644,0.5892857142857143,0.922514619883041,0.5982142857142857,0.9948830409356725,0.625,0.935672514619883,0.6785714285714286,0.9970760233918129
2,0.5178571428571429,0.6176900584795322,0.5535714285714286,0.993421052631579,0.5267857142857143,0.6242690058479532,0.5535714285714286,0.9948830409356725,0.6071428571428571,0.7236842105263158,0.6428571428571429,0.9948830409356725,0.6517857142857143,0.9437134502923976,0.5982142857142857,0.9970760233918129
3,0.5267857142857143,0.6198830409356725,0.5446428571428571,0.9758771929824561,0.5714285714285714,0.6198830409356725,0.5535714285714286,0.9948830409356725,0.6160714285714286,0.7785087719298246,0.6428571428571429,0.9948830409356725,0.6875,0.820906432748538,0.6517857142857143,0.9956140350877193
4,0.5625,0.5380116959064327,0.5267857142857143,0.8823099415204678,0.5714285714285714,0.5891812865497076,0.5446428571428571,0.9948830409356725,0.6071428571428571,0.7514619883040936,0.625,0.9948830409356725,0.6517857142857143,0.7711988304093568,0.6607142857142857,0.9948830409356725
5,0.6517857142857143,0.5577485380116959,0.5446428571428571,0.9093567251461988,0.6339285714285714,0.5489766081871345,0.6160714285714286,0.9400584795321637,0.6160714285714286,0.7595029239766082,0.6428571428571429,0.9948830409356725,0.6607142857142857,0.8961988304093568,0.6428571428571429,0.9956140350877193
6,0.6339285714285714,0.5190058479532164,0.5982142857142857,0.8742690058479532,0.6428571428571429,0.6169590643274854,0.5803571428571429,0.8845029239766082,0.6696428571428571,0.6864035087719298,0.6517857142857143,0.9941520467836257,0.75,0.7602339181286549,0.6339285714285714,0.9963450292397661
7,0.5892857142857143,0.5153508771929824,0.6160714285714286,0.7521929824561403,0.6428571428571429,0.6286549707602339,0.5982142857142857,0.8961988304093568,0.6785714285714286,0.6549707602339181,0.6160714285714286,0.9926900584795322,0.75,0.8099415204678363,0.6875,0.9970760233918129
8,0.5892857142857143,0.5497076023391813,0.6428571428571429,0.6498538011695907,0.6428571428571429,0.6469298245614035,0.6428571428571429,0.8932748538011696,0.6607142857142857,0.6432748538011696,0.6964285714285714,0.9788011695906432,0.7410714285714286,0.8092105263157895,0.6964285714285714,0.9970760233918129
9,0.6517857142857143,0.5986842105263158,0.6875,0.6228070175438597,0.6428571428571429,0.6630116959064327,0.6964285714285714,0.6447368421052632,0.6785714285714286,0.7485380116959064,0.75,0.9700292397660819,0.8571428571428571,0.8340643274853801,0.7678571428571429,0.9963450292397661
10,0.6607142857142857,0.5994152046783626,0.6875,0.5833333333333334,0.6428571428571429,0.6491228070175439,0.6875,0.6505847953216374,0.6964285714285714,0.7953216374269005,0.75,0.9568713450292398,0.875,0.881578947368421,0.8035714285714286,0.9780701754385965
11,0.6785714285714286,0.618421052631579,0.7232142857142857,0.7017543859649122,0.6339285714285714,0.6608187134502924,0.7410714285714286,0.7923976608187134,0.7589285714285714,0.8662280701754386,0.7857142857142857,0.9568713450292398,0.9017857142857143,0.9137426900584795,0.9196428571428571,0.9714912280701754
12,0.6428571428571429,0.6228070175438597,0.7321428571428571,0.7141812865497076,0.6607142857142857,0.7346491228070176,0.7678571428571429,0.7865497076023392,0.8303571428571429,0.8969298245614035,0.7767857142857143,0.9444444444444444,0.8928571428571429,0.922514619883041,0.9017857142857143,0.9649122807017544
13,0.7678571428571429,0.8165204678362573,0.875,0.8589181286549707,0.8303571428571429,0.8289473684210527,0.875,0.8633040935672515,0.875,0.8801169590643275,0.8928571428571429,0.8859649122807017,0.9285714285714286,0.8793859649122807,0.9107142857142857,0.9100877192982456
14,0.7410714285714286,0.820906432748538,0.8928571428571429,0.8435672514619883,0.7946428571428571,0.8289473684210527,0.8839285714285714,0.8698830409356725,0.8928571428571429,0.8837719298245614,0.9017857142857143,0.8896198830409356,0.9553571428571429,0.8874269005847953,0.9196428571428571,0.908625730994152
15,0.8125,0.8362573099415205,0.8928571428571429,0.8421052631578947,0.8571428571428571,0.8464912280701754,0.8928571428571429,0.8742690058479532,0.9017857142857143,0.8779239766081871,0.875,0.8786549707602339,0.9017857142857143,0.8852339181286549,0.9196428571428571,0.9137426900584795
