,subspace,n_components,lambda,layer,score
168,xs,1,0.15,16,0.44
169,full,1,0.15,16,0.25
170,xs,1,0.15,17,0.18
171,full,1,0.15,17,0.26
172,xs,1,0.15,18,0.3
173,full,1,0.15,18,0.25
174,xs,1,0.15,19,0.3
175,full,1,0.15,19,0.25
176,xs,1,0.15,20,0.19
177,full,1,0.15,20,0.26
178,xs,1,0.15,21,0.16
179,full,1,0.15,21,0.24
180,xs,1,0.15,22,0.15
181,full,1,0.15,22,0.29
182,xs,1,0.15,23,0.23
183,full,1,0.15,23,0.27
184,xs,1,0.2,1,0.3
185,full,1,0.2,1,0.29
186,xs,1,0.2,2,0.35
187,full,1,0.2,2,0.28
188,xs,1,0.2,3,0.19
189,full,1,0.2,3,0.28
190,xs,1,0.2,4,0.26
191,full,1,0.2,4,0.28
192,xs,1,0.2,5,0.28
193,full,1,0.2,5,0.34
194,xs,1,0.2,6,0.24
195,full,1,0.2,6,0.29
196,xs,1,0.2,7,0.21
197,full,1,0.2,7,0.22
198,xs,1,0.2,8,0.23
199,full,1,0.2,8,0.24
200,xs,1,0.2,9,0.28
201,full,1,0.2,9,0.22
202,xs,1,0.2,10,0.27
203,full,1,0.2,10,0.32
204,xs,1,0.2,11,0.31
205,full,1,0.2,11,0.28
206,xs,1,0.2,12,0.25
207,full,1,0.2,12,0.27
208,xs,1,0.2,13,0.24
209,full,1,0.2,13,0.3
210,xs,1,0.2,14,0.32
211,full,1,0.2,14,0.24
212,xs,1,0.2,15,0.21
213,full,1,0.2,15,0.27
214,xs,1,0.2,16,0.42
215,full,1,0.2,16,0.3
216,xs,1,0.2,17,0.23
217,full,1,0.2,17,0.29
218,xs,1,0.2,18,0.31
219,full,1,0.2,18,0.26
220,xs,1,0.2,19,0.26
221,full,1,0.2,19,0.26
222,xs,1,0.2,20,0.22
223,full,1,0.2,20,0.25
224,xs,1,0.2,21,0.16
225,full,1,0.2,21,0.27
226,xs,1,0.2,22,0.15
227,full,1,0.2,22,0.29
228,xs,1,0.2,23,0.26
229,full,1,0.2,23,0.27
230,xs,1,0.25,1,0.28
231,full,1,0.25,1,0.29
232,xs,1,0.25,2,0.37
233,full,1,0.25,2,0.28
234,xs,1,0.25,3,0.22
235,full,1,0.25,3,0.26
236,xs,1,0.25,4,0.26
237,full,1,0.25,4,0.27
238,xs,1,0.25,5,0.27
239,full,1,0.25,5,0.35
240,xs,1,0.25,6,0.23
241,full,1,0.25,6,0.3
242,xs,1,0.25,7,0.22
243,full,1,0.25,7,0.24
244,xs,1,0.25,8,0.24
245,full,1,0.25,8,0.26
246,xs,1,0.25,9,0.27
247,full,1,0.25,9,0.21
248,xs,1,0.25,10,0.28
249,full,1,0.25,10,0.28
250,xs,1,0.25,11,0.31
251,full,1,0.25,11,0.28
252,xs,1,0.25,12,0.21
253,full,1,0.25,12,0.28
254,xs,1,0.25,13,0.22
255,full,1,0.25,13,0.26
256,xs,1,0.25,14,0.3
257,full,1,0.25,14,0.24
258,xs,1,0.25,15,0.22
259,full,1,0.25,15,0.25
260,xs,1,0.25,16,0.43
261,full,1,0.25,16,0.29
262,xs,1,0.25,17,0.26
263,full,1,0.25,17,0.29
264,xs,1,0.25,18,0.27
265,full,1,0.25,18,0.24
266,xs,1,0.25,19,0.27
267,full,1,0.25,19,0.25
268,xs,1,0.25,20,0.2
269,full,1,0.25,20,0.24
270,xs,1,0.25,21,0.17
271,full,1,0.25,21,0.29
272,xs,1,0.25,22,0.16
273,full,1,0.25,22,0.31
274,xs,1,0.25,23,0.23
275,full,1,0.25,23,0.26
276,xs,1,0.3,1,0.28
277,full,1,0.3,1,0.27
278,xs,1,0.3,2,0.32
279,full,1,0.3,2,0.28
280,xs,1,0.3,3,0.25
281,full,1,0.3,3,0.27
282,xs,1,0.3,4,0.24
283,full,1,0.3,4,0.28
284,xs,1,0.3,5,0.3
285,full,1,0.3,5,0.37
286,xs,1,0.3,6,0.24
287,full,1,0.3,6,0.31
288,xs,1,0.3,7,0.23
289,full,1,0.3,7,0.2
290,xs,1,0.3,8,0.24
291,full,1,0.3,8,0.23
292,xs,1,0.3,9,0.29
293,full,1,0.3,9,0.22
294,xs,1,0.3,10,0.27
295,full,1,0.3,10,0.25
296,xs,1,0.3,11,0.3
297,full,1,0.3,11,0.27
298,xs,1,0.3,12,0.22
299,full,1,0.3,12,0.28
300,xs,1,0.3,13,0.26
301,full,1,0.3,13,0.32
302,xs,1,0.3,14,0.35
303,full,1,0.3,14,0.25
304,xs,1,0.3,15,0.21
