,subspace,n_components,lambda,layer,score
842,xs,5,0.1,8,0.23
843,full,5,0.1,8,0.27
844,xs,5,0.1,9,0.27
845,full,5,0.1,9,0.3
846,xs,5,0.1,10,0.18
847,full,5,0.1,10,0.25
848,xs,5,0.1,11,0.34
849,full,5,0.1,11,0.34
850,xs,5,0.1,12,0.21
851,full,5,0.1,12,0.36
852,xs,5,0.1,13,0.26
853,full,5,0.1,13,0.26
854,xs,5,0.1,14,0.27
855,full,5,0.1,14,0.25
856,xs,5,0.1,15,0.31
857,full,5,0.1,15,0.23
858,xs,5,0.1,16,0.29
859,full,5,0.1,16,0.25
860,xs,5,0.1,17,0.25
861,full,5,0.1,17,0.22
862,xs,5,0.1,18,0.33
863,full,5,0.1,18,0.22
864,xs,5,0.1,19,0.18
865,full,5,0.1,19,0.22
866,xs,5,0.1,20,0.1
867,full,5,0.1,20,0.25
868,xs,5,0.1,21,0.14
869,full,5,0.1,21,0.25
870,xs,5,0.1,22,0.39
871,full,5,0.1,22,0.26
872,xs,5,0.1,23,0.09
873,full,5,0.1,23,0.29
874,xs,5,0.15,1,0.28
875,full,5,0.15,1,0.28
876,xs,5,0.15,2,0.31
877,full,5,0.15,2,0.27
878,xs,5,0.15,3,0.21
879,full,5,0.15,3,0.22
880,xs,5,0.15,4,0.19
881,full,5,0.15,4,0.34
882,xs,5,0.15,5,0.32
883,full,5,0.15,5,0.39
884,xs,5,0.15,6,0.05
885,full,5,0.15,6,0.32
886,xs,5,0.15,7,0.17
887,full,5,0.15,7,0.29
888,xs,5,0.15,8,0.29
889,full,5,0.15,8,0.27
890,xs,5,0.15,9,0.27
891,full,5,0.15,9,0.32
892,xs,5,0.15,10,0.18
893,full,5,0.15,10,0.26
894,xs,5,0.15,11,0.32
895,full,5,0.15,11,0.34
896,xs,5,0.15,12,0.22
897,full,5,0.15,12,0.34
898,xs,5,0.15,13,0.24
899,full,5,0.15,13,0.28
900,xs,5,0.15,14,0.27
901,full,5,0.15,14,0.24
902,xs,5,0.15,15,0.31
903,full,5,0.15,15,0.24
904,xs,5,0.15,16,0.28
905,full,5,0.15,16,0.27
906,xs,5,0.15,17,0.25
907,full,5,0.15,17,0.21
908,xs,5,0.15,18,0.36
909,full,5,0.15,18,0.23
910,xs,5,0.15,19,0.21
911,full,5,0.15,19,0.21
912,xs,5,0.15,20,0.12
913,full,5,0.15,20,0.27
914,xs,5,0.15,21,0.16
915,full,5,0.15,21,0.25
916,xs,5,0.15,22,0.38
917,full,5,0.15,22,0.26
918,xs,5,0.15,23,0.09
919,full,5,0.15,23,0.3
920,xs,5,0.2,1,0.29
921,full,5,0.2,1,0.32
922,xs,5,0.2,2,0.29
923,full,5,0.2,2,0.24
924,xs,5,0.2,3,0.19
925,full,5,0.2,3,0.2
926,xs,5,0.2,4,0.21
927,full,5,0.2,4,0.36
928,xs,5,0.2,5,0.31
929,full,5,0.2,5,0.38
930,xs,5,0.2,6,0.05
931,full,5,0.2,6,0.34
932,xs,5,0.2,7,0.18
933,full,5,0.2,7,0.29
934,xs,5,0.2,8,0.29
935,full,5,0.2,8,0.28
936,xs,5,0.2,9,0.28
937,full,5,0.2,9,0.31
938,xs,5,0.2,10,0.17
939,full,5,0.2,10,0.32
940,xs,5,0.2,11,0.35
941,full,5,0.2,11,0.34
942,xs,5,0.2,12,0.24
943,full,5,0.2,12,0.35
944,xs,5,0.2,13,0.27
945,full,5,0.2,13,0.28
946,xs,5,0.2,14,0.28
947,full,5,0.2,14,0.24
948,xs,5,0.2,15,0.32
949,full,5,0.2,15,0.26
950,xs,5,0.2,16,0.28
951,full,5,0.2,16,0.31
952,xs,5,0.2,17,0.26
953,full,5,0.2,17,0.21
954,xs,5,0.2,18,0.31
955,full,5,0.2,18,0.22
956,xs,5,0.2,19,0.21
957,full,5,0.2,19,0.21
958,xs,5,0.2,20,0.12
959,full,5,0.2,20,0.27
960,xs,5,0.2,21,0.16
961,full,5,0.2,21,0.27
962,xs,5,0.2,22,0.37
963,full,5,0.2,22,0.29
964,xs,5,0.2,23,0.09
965,full,5,0.2,23,0.32
966,xs,5,0.25,1,0.25
967,full,5,0.25,1,0.23
968,xs,5,0.25,2,0.33
969,full,5,0.25,2,0.24
970,xs,5,0.25,3,0.23
971,full,5,0.25,3,0.21
972,xs,5,0.25,4,0.23
973,full,5,0.25,4,0.36
974,xs,5,0.25,5,0.34
975,full,5,0.25,5,0.37
976,xs,5,0.25,6,0.05
977,full,5,0.25,6,0.33
978,xs,5,0.25,7,0.22
979,full,5,0.25,7,0.28
980,xs,5,0.25,8,0.22
981,full,5,0.25,8,0.29
982,xs,5,0.25,9,0.25
983,full,5,0.25,9,0.29
984,xs,5,0.25,10,0.19
985,full,5,0.25,10,0.28
986,xs,5,0.25,11,0.34
987,full,5,0.25,11,0.33
988,xs,5,0.25,12,0.24
989,full,5,0.25,12,0.33
990,xs,5,0.25,13,0.26
991,full,5,0.25,13,0.27
992,xs,5,0.25,14,0.26
993,full,5,0.25,14,0.22
994,xs,5,0.25,15,0.34
995,full,5,0.25,15,0.26
996,xs,5,0.25,16,0.29
997,full,5,0.25,16,0.3
998,xs,5,0.25,17,0.26
999,full,5,0.25,17,0.22
1000,xs,5,0.25,18,0.36
1001,full,5,0.25,18,0.25
1002,xs,5,0.25,19,0.2
1003,full,5,0.25,19,0.23
1004,xs,5,0.25,20,0.15
1005,full,5,0.25,20,0.27
1006,xs,5,0.25,21,0.17
1007,full,5,0.25,21,0.29
1008,xs,5,0.25,22,0.31
1009,full,5,0.25,22,0.28
1010,xs,5,0.25,23,0.09
1011,full,5,0.25,23,0.34
1012,xs,5,0.3,1,0.28
1013,full,5,0.3,1,0.29
1014,xs,5,0.3,2,0.33
1015,full,5,0.3,2,0.28
1016,xs,5,0.3,3,0.24
1017,full,5,0.3,3,0.19
1018,xs,5,0.3,4,0.22
1019,full,5,0.3,4,0.34
1020,xs,5,0.3,5,0.32
1021,full,5,0.3,5,0.37
1022,xs,5,0.3,6,0.07
1023,full,5,0.3,6,0.32
1024,xs,5,0.3,7,0.22
1025,full,5,0.3,7,0.36
1026,xs,5,0.3,8,0.31
1027,full,5,0.3,8,0.26
1028,xs,5,0.3,9,0.26
1029,full,5,0.3,9,0.34
1030,xs,5,0.3,10,0.2
1031,full,5,0.3,10,0.29
1032,xs,5,0.3,11,0.35
1033,full,5,0.3,11,0.36
1034,xs,5,0.3,12,0.28
1035,full,5,0.3,12,0.35
1036,xs,5,0.3,13,0.25
1037,full,5,0.3,13,0.29
1038,xs,5,0.3,14,0.26
1039,full,5,0.3,14,0.21
1040,xs,5,0.3,15,0.35
1041,full,5,0.3,15,0.25
1042,xs,5,0.3,16,0.26
1043,full,5,0.3,16,0.28
1044,xs,5,0.3,17,0.27
1045,full,5,0.3,17,0.23
1046,xs,5,0.3,18,0.32
1047,full,5,0.3,18,0.23
1048,xs,5,0.3,19,0.21
1049,full,5,0.3,19,0.21
1050,xs,5,0.3,20,0.18
1051,full,5,0.3,20,0.26
1052,xs,5,0.3,21,0.19
1053,full,5,0.3,21,0.27
1054,xs,5,0.3,22,0.3
1055,full,5,0.3,22,0.28
1056,xs,5,0.3,23,0.11
1057,full,5,0.3,23,0.33
1058,xs,5,0.35,1,0.25
1059,full,5,0.35,1,0.3
1060,xs,5,0.35,2,0.3
1061,full,5,0.35,2,0.31
1062,xs,5,0.35,3,0.24
1063,full,5,0.35,3,0.23
1064,xs,5,0.35,4,0.18
1065,full,5,0.35,4,0.35
1066,xs,5,0.35,5,0.35
1067,full,5,0.35,5,0.35
1068,xs,5,0.35,6,0.05
1069,full,5,0.35,6,0.34
1070,xs,5,0.35,7,0.2
1071,full,5,0.35,7,0.29
1072,xs,5,0.35,8,0.27
1073,full,5,0.35,8,0.3
1074,xs,5,0.35,9,0.3
1075,full,5,0.35,9,0.33
1076,xs,5,0.35,10,0.19
1077,full,5,0.35,10,0.26
1078,xs,5,0.35,11,0.32
1079,full,5,0.35,11,0.32
1080,xs,5,0.35,12,0.28
1081,full,5,0.35,12,0.33
1082,xs,5,0.35,13,0.25
1083,full,5,0.35,13,0.33
1084,xs,5,0.35,14,0.28
1085,full,5,0.35,14,0.23
1086,xs,5,0.35,15,0.37
1087,full,5,0.35,15,0.25
1088,xs,5,0.35,16,0.27
1089,full,5,0.35,16,0.26
1090,xs,5,0.35,17,0.28
1091,full,5,0.35,17,0.24
1092,xs,5,0.35,18,0.33
1093,full,5,0.35,18,0.24
1094,xs,5,0.35,19,0.2
1095,full,5,0.35,19,0.22
1096,xs,5,0.35,20,0.21
1097,full,5,0.35,20,0.29
1098,xs,5,0.35,21,0.17
1099,full,5,0.35,21,0.26
1100,xs,5,0.35,22,0.29
1101,full,5,0.35,22,0.26
1102,xs,5,0.35,23,0.12
1103,full,5,0.35,23,0.32
1104,xs,10,0.0,1,0.27
1105,full,10,0.0,1,0.26
1106,xs,10,0.0,2,0.4
1107,full,10,0.0,2,0.3
1108,xs,10,0.0,3,0.26
1109,full,10,0.0,3,0.19
1110,xs,10,0.0,4,0.13
1111,full,10,0.0,4,0.32
1112,xs,10,0.0,5,0.46
1113,full,10,0.0,5,0.27
1114,xs,10,0.0,6,0.04
1115,full,10,0.0,6,0.3
1116,xs,10,0.0,7,0.09
1117,full,10,0.0,7,0.39
1118,xs,10,0.0,8,0.22
1119,full,10,0.0,8,0.18
1120,xs,10,0.0,9,0.32
1121,full,10,0.0,9,0.4
1122,xs,10,0.0,10,0.21
1123,full,10,0.0,10,0.28
1124,xs,10,0.0,11,0.26
1125,full,10,0.0,11,0.29
1126,xs,10,0.0,12,0.12
1127,full,10,0.0,12,0.31
1128,xs,10,0.0,13,0.29
1129,full,10,0.0,13,0.24
1130,xs,10,0.0,14,0.28
1131,full,10,0.0,14,0.36
1132,xs,10,0.0,15,0.35
1133,full,10,0.0,15,0.23
1134,xs,10,0.0,16,0.34
1135,full,10,0.0,16,0.39
1136,xs,10,0.0,17,0.14
1137,full,10,0.0,17,0.26
1138,xs,10,0.0,18,0.26
1139,full,10,0.0,18,0.24
1140,xs,10,0.0,19,0.11
1141,full,10,0.0,19,0.18
1142,xs,10,0.0,20,0.1
1143,full,10,0.0,20,0.25
1144,xs,10,0.0,21,0.29
1145,full,10,0.0,21,0.22
1146,xs,10,0.0,22,0.52
1147,full,10,0.0,22,0.34
1148,xs,10,0.0,23,0.03
1149,full,10,0.0,23,0.36
1150,xs,10,0.05,1,0.31
1151,full,10,0.05,1,0.23
1152,xs,10,0.05,2,0.41
1153,full,10,0.05,2,0.28
1154,xs,10,0.05,3,0.23
1155,full,10,0.05,3,0.18
1156,xs,10,0.05,4,0.14
1157,full,10,0.05,4,0.31
1158,xs,10,0.05,5,0.38
1159,full,10,0.05,5,0.27
1160,xs,10,0.05,6,0.05
1161,full,10,0.05,6,0.26
1162,xs,10,0.05,7,0.06
1163,full,10,0.05,7,0.37
1164,xs,10,0.05,8,0.24
1165,full,10,0.05,8,0.14
1166,xs,10,0.05,9,0.3
1167,full,10,0.05,9,0.38
1168,xs,10,0.05,10,0.2
1169,full,10,0.05,10,0.3
1170,xs,10,0.05,11,0.23
1171,full,10,0.05,11,0.31
1172,xs,10,0.05,12,0.13
1173,full,10,0.05,12,0.29
1174,xs,10,0.05,13,0.32
1175,full,10,0.05,13,0.26
1176,xs,10,0.05,14,0.29
1177,full,10,0.05,14,0.37
1178,xs,10,0.05,15,0.33
1179,full,10,0.05,15,0.24
1180,xs,10,0.05,16,0.31
1181,full,10,0.05,16,0.4
1182,xs,10,0.05,17,0.15
1183,full,10,0.05,17,0.28
1184,xs,10,0.05,18,0.26
1185,full,10,0.05,18,0.24
1186,xs,10,0.05,19,0.13
1187,full,10,0.05,19,0.19
1188,xs,10,0.05,20,0.11
1189,full,10,0.05,20,0.26
1190,xs,10,0.05,21,0.26
1191,full,10,0.05,21,0.22
1192,xs,10,0.05,22,0.56
1193,full,10,0.05,22,0.34
1194,xs,10,0.05,23,0.03
1195,full,10,0.05,23,0.35
1196,xs,10,0.1,1,0.32
1197,full,10,0.1,1,0.29
1198,xs,10,0.1,2,0.39
1199,full,10,0.1,2,0.29
1200,xs,10,0.1,3,0.25
1201,full,10,0.1,3,0.19
1202,xs,10,0.1,4,0.14
1203,full,10,0.1,4,0.33
1204,xs,10,0.1,5,0.4
1205,full,10,0.1,5,0.29
1206,xs,10,0.1,6,0.06
1207,full,10,0.1,6,0.3
1208,xs,10,0.1,7,0.08
1209,full,10,0.1,7,0.35
1210,xs,10,0.1,8,0.27
1211,full,10,0.1,8,0.2
1212,xs,10,0.1,9,0.29
1213,full,10,0.1,9,0.4
1214,xs,10,0.1,10,0.23
1215,full,10,0.1,10,0.28
1216,xs,10,0.1,11,0.24
1217,full,10,0.1,11,0.31
1218,xs,10,0.1,12,0.12
1219,full,10,0.1,12,0.3
1220,xs,10,0.1,13,0.34
1221,full,10,0.1,13,0.29
1222,xs,10,0.1,14,0.31
1223,full,10,0.1,14,0.37
1224,xs,10,0.1,15,0.35
1225,full,10,0.1,15,0.24
1226,xs,10,0.1,16,0.32
1227,full,10,0.1,16,0.35
1228,xs,10,0.1,17,0.17
1229,full,10,0.1,17,0.26
1230,xs,10,0.1,18,0.27
1231,full,10,0.1,18,0.25
1232,xs,10,0.1,19,0.14
1233,full,10,0.1,19,0.2
1234,xs,10,0.1,20,0.15
1235,full,10,0.1,20,0.28
1236,xs,10,0.1,21,0.26
1237,full,10,0.1,21,0.2
1238,xs,10,0.1,22,0.51
1239,full,10,0.1,22,0.32
1240,xs,10,0.1,23,0.04
1241,full,10,0.1,23,0.35
1242,xs,10,0.15,1,0.3
1243,full,10,0.15,1,0.27
1244,xs,10,0.15,2,0.4
1245,full,10,0.15,2,0.3
1246,xs,10,0.15,3,0.24
1247,full,10,0.15,3,0.18
1248,xs,10,0.15,4,0.13
1249,full,10,0.15,4,0.32
1250,xs,10,0.15,5,0.41
1251,full,10,0.15,5,0.31
1252,xs,10,0.15,6,0.05
1253,full,10,0.15,6,0.32
1254,xs,10,0.15,7,0.08
1255,full,10,0.15,7,0.38
1256,xs,10,0.15,8,0.26
1257,full,10,0.15,8,0.18
1258,xs,10,0.15,9,0.28
1259,full,10,0.15,9,0.37
1260,xs,10,0.15,10,0.2
1261,full,10,0.15,10,0.3
1262,xs,10,0.15,11,0.29
1263,full,10,0.15,11,0.32
1264,xs,10,0.15,12,0.14
1265,full,10,0.15,12,0.31
1266,xs,10,0.15,13,0.34
1267,full,10,0.15,13,0.28
1268,xs,10,0.15,14,0.28
1269,full,10,0.15,14,0.34
1270,xs,10,0.15,15,0.35
1271,full,10,0.15,15,0.23
1272,xs,10,0.15,16,0.34
1273,full,10,0.15,16,0.37
1274,xs,10,0.15,17,0.16
1275,full,10,0.15,17,0.27
1276,xs,10,0.15,18,0.26
1277,full,10,0.15,18,0.24
1278,xs,10,0.15,19,0.13
1279,full,10,0.15,19,0.2
1280,xs,10,0.15,20,0.15
1281,full,10,0.15,20,0.28
1282,xs,10,0.15,21,0.24
1283,full,10,0.15,21,0.2
1284,xs,10,0.15,22,0.57
1285,full,10,0.15,22,0.32
1286,xs,10,0.15,23,0.06
1287,full,10,0.15,23,0.34
1288,xs,10,0.2,1,0.28
1289,full,10,0.2,1,0.27
1290,xs,10,0.2,2,0.38
1291,full,10,0.2,2,0.29
1292,xs,10,0.2,3,0.24
1293,full,10,0.2,3,0.19
1294,xs,10,0.2,4,0.17
1295,full,10,0.2,4,0.33
1296,xs,10,0.2,5,0.39
1297,full,10,0.2,5,0.31
1298,xs,10,0.2,6,0.05
1299,full,10,0.2,6,0.32
1300,xs,10,0.2,7,0.08
1301,full,10,0.2,7,0.33
1302,xs,10,0.2,8,0.26
1303,full,10,0.2,8,0.18
1304,xs,10,0.2,9,0.28
1305,full,10,0.2,9,0.36
1306,xs,10,0.2,10,0.19
1307,full,10,0.2,10,0.3
1308,xs,10,0.2,11,0.26
1309,full,10,0.2,11,0.27
1310,xs,10,0.2,12,0.16
1311,full,10,0.2,12,0.29
1312,xs,10,0.2,13,0.39
1313,full,10,0.2,13,0.29
1314,xs,10,0.2,14,0.28
1315,full,10,0.2,14,0.34
1316,xs,10,0.2,15,0.34
1317,full,10,0.2,15,0.21
1318,xs,10,0.2,16,0.35
1319,full,10,0.2,16,0.35
1320,xs,10,0.2,17,0.2
1321,full,10,0.2,17,0.27
1322,xs,10,0.2,18,0.26
1323,full,10,0.2,18,0.24
1324,xs,10,0.2,19,0.15
1325,full,10,0.2,19,0.21
1326,xs,10,0.2,20,0.16
1327,full,10,0.2,20,0.27
1328,xs,10,0.2,21,0.22
1329,full,10,0.2,21,0.22
1330,xs,10,0.2,22,0.46
1331,full,10,0.2,22,0.34
1332,xs,10,0.2,23,0.08
1333,full,10,0.2,23,0.34
1334,xs,10,0.25,1,0.31
1335,full,10,0.25,1,0.28
1336,xs,10,0.25,2,0.38
1337,full,10,0.25,2,0.3
1338,xs,10,0.25,3,0.26
1339,full,10,0.25,3,0.18
1340,xs,10,0.25,4,0.15
1341,full,10,0.25,4,0.35
1342,xs,10,0.25,5,0.37
1343,full,10,0.25,5,0.3
1344,xs,10,0.25,6,0.08
1345,full,10,0.25,6,0.34
1346,xs,10,0.25,7,0.06
1347,full,10,0.25,7,0.34
1348,xs,10,0.25,8,0.28
1349,full,10,0.25,8,0.19
1350,xs,10,0.25,9,0.28
1351,full,10,0.25,9,0.35
1352,xs,10,0.25,10,0.2
1353,full,10,0.25,10,0.3
1354,xs,10,0.25,11,0.27
1355,full,10,0.25,11,0.29
1356,xs,10,0.25,12,0.14
1357,full,10,0.25,12,0.3
1358,xs,10,0.25,13,0.44
1359,full,10,0.25,13,0.24
1360,xs,10,0.25,14,0.29
1361,full,10,0.25,14,0.32
1362,xs,10,0.25,15,0.37
1363,full,10,0.25,15,0.24
1364,xs,10,0.25,16,0.32
1365,full,10,0.25,16,0.37
1366,xs,10,0.25,17,0.17
1367,full,10,0.25,17,0.25
1368,xs,10,0.25,18,0.28
1369,full,10,0.25,18,0.22
1370,xs,10,0.25,19,0.14
1371,full,10,0.25,19,0.21
1372,xs,10,0.25,20,0.15
1373,full,10,0.25,20,0.28
1374,xs,10,0.25,21,0.21
1375,full,10,0.25,21,0.23
1376,xs,10,0.25,22,0.43
1377,full,10,0.25,22,0.33
1378,xs,10,0.25,23,0.08
1379,full,10,0.25,23,0.34
1380,xs,10,0.3,1,0.31
1381,full,10,0.3,1,0.33
1382,xs,10,0.3,2,0.35
1383,full,10,0.3,2,0.29
1384,xs,10,0.3,3,0.25
1385,full,10,0.3,3,0.17
1386,xs,10,0.3,4,0.21
1387,full,10,0.3,4,0.33
1388,xs,10,0.3,5,0.38
1389,full,10,0.3,5,0.29
1390,xs,10,0.3,6,0.07
1391,full,10,0.3,6,0.33
1392,xs,10,0.3,7,0.06
1393,full,10,0.3,7,0.39
1394,xs,10,0.3,8,0.29
1395,full,10,0.3,8,0.19
1396,xs,10,0.3,9,0.28
1397,full,10,0.3,9,0.35
1398,xs,10,0.3,10,0.21
1399,full,10,0.3,10,0.32
1400,xs,10,0.3,11,0.29
1401,full,10,0.3,11,0.29
1402,xs,10,0.3,12,0.16
1403,full,10,0.3,12,0.3
1404,xs,10,0.3,13,0.4
1405,full,10,0.3,13,0.28
1406,xs,10,0.3,14,0.25
1407,full,10,0.3,14,0.35
1408,xs,10,0.3,15,0.38
1409,full,10,0.3,15,0.24
1410,xs,10,0.3,16,0.28
1411,full,10,0.3,16,0.37
1412,xs,10,0.3,17,0.2
1413,full,10,0.3,17,0.24
1414,xs,10,0.3,18,0.23
1415,full,10,0.3,18,0.26
1416,xs,10,0.3,19,0.13
1417,full,10,0.3,19,0.2
1418,xs,10,0.3,20,0.15
1419,full,10,0.3,20,0.29
1420,xs,10,0.3,21,0.24
1421,full,10,0.3,21,0.23
1422,xs,10,0.3,22,0.42
1423,full,10,0.3,22,0.34
1424,xs,10,0.3,23,0.1
1425,full,10,0.3,23,0.35
1426,xs,10,0.35,1,0.27
1427,full,10,0.35,1,0.28
1428,xs,10,0.35,2,0.37
1429,full,10,0.35,2,0.29
1430,xs,10,0.35,3,0.24
1431,full,10,0.35,3,0.17
1432,xs,10,0.35,4,0.18
1433,full,10,0.35,4,0.34
1434,xs,10,0.35,5,0.4
1435,full,10,0.35,5,0.3
1436,xs,10,0.35,6,0.07
1437,full,10,0.35,6,0.33
1438,xs,10,0.35,7,0.07
1439,full,10,0.35,7,0.38
1440,xs,10,0.35,8,0.28
1441,full,10,0.35,8,0.18
1442,xs,10,0.35,9,0.24
1443,full,10,0.35,9,0.36
1444,xs,10,0.35,10,0.23
1445,full,10,0.35,10,0.29
1446,xs,10,0.35,11,0.3
1447,full,10,0.35,11,0.28
1448,xs,10,0.35,12,0.17
1449,full,10,0.35,12,0.31
1450,xs,10,0.35,13,0.43
1451,full,10,0.35,13,0.28
1452,xs,10,0.35,14,0.25
1453,full,10,0.35,14,0.35
1454,xs,10,0.35,15,0.37
1455,full,10,0.35,15,0.23
1456,xs,10,0.35,16,0.25
1457,full,10,0.35,16,0.36
1458,xs,10,0.35,17,0.17
1459,full,10,0.35,17,0.24
1460,xs,10,0.35,18,0.26
1461,full,10,0.35,18,0.23
1462,xs,10,0.35,19,0.17
1463,full,10,0.35,19,0.2
1464,xs,10,0.35,20,0.17
1465,full,10,0.35,20,0.29
1466,xs,10,0.35,21,0.21
1467,full,10,0.35,21,0.24
1468,xs,10,0.35,22,0.33
1469,full,10,0.35,22,0.34
1470,xs,10,0.35,23,0.1
1471,full,10,0.35,23,0.34
