,subspace,n_components,lambda,layer,score
0,xs,1,0,1,0.17
1,full,1,0,1,0.19
2,xs,1,0,2,0.19
3,full,1,0,2,0.19
4,xs,1,0,3,0.19
5,full,1,0,3,0.19
6,xs,1,0,4,0.19
7,full,1,0,4,0.19
8,xs,1,0,5,0.19
9,full,1,0,5,0.19
10,xs,1,0,6,0.19
11,full,1,0,6,0.19
12,xs,1,0,7,0.19
13,full,1,0,7,0.19
14,xs,1,0,8,0.19
15,full,1,0,8,0.19
16,xs,1,0,9,0.19
17,full,1,0,9,0.19
18,xs,1,0,10,0.19
19,full,1,0,10,0.19
20,xs,1,0,11,0.19
21,full,1,0,11,0.19
