,subspace,n_components,lambda,layer,score
0,xs,1,-0.05,39,0.0
1,xs,1,-0.01,39,0.0
2,xs,1,0.0,39,0.0
3,xs,1,0.01,39,0.0
4,xs,1,0.05,39,0.0
5,xs,2,-0.05,39,0.0
6,xs,2,-0.01,39,0.05
7,xs,2,0.0,39,0.05
8,xs,2,0.01,39,0.1
9,xs,2,0.05,39,0.05
10,xs,3,-0.05,39,0.05
11,xs,3,-0.01,39,0.0
12,xs,3,0.0,39,0.0
13,xs,3,0.01,39,0.0
14,xs,3,0.05,39,0.1
15,xs,4,-0.05,39,0.05
16,xs,4,-0.01,39,0.1
17,xs,4,0.0,39,0.05
18,xs,4,0.01,39,0.05
19,xs,4,0.05,39,0.05
20,xs,5,-0.05,39,0.0
21,xs,5,-0.01,39,0.05
22,xs,5,0.0,39,0.05
23,xs,5,0.01,39,0.05
24,xs,5,0.05,39,0.0
